Q25,Q19,Q18,Q23,Q24,Q27,,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,TOTAL,,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q42_8,Q42_9,Q42_10,Q42_11,Q42_12,Q42_13,Q42_14,Q42_15,Q42_16,Q42_17,Q42_18,Q42_19,Q42_20,Q42_21,Q42_22,Q42_23,Q42_24,Q42_25,Q42_26,Q42_27,Q42_28,Q42_29,Total Agression,,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Avoidance ,Anxiety,,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q44_12,Q44_13,Q44_14,Q44_15,Q44_16,Q44_17,Q44_18,Q44_19,Q44_20,Q44_21,Q44_22,Q44_23,Q44_24,Q44_25,Q44_26,Q44_27,Q44_28,Q44_29,Q44_30,Q44_31,Q44_32,Proximity Maintenance,Sensitivity,Controlling C,Compulsive C
1.00,2.00,1.00,8.00,1.00,22,,6,5,7,6,2,2,3,3,5,39.00,,4,1,2,4,2,4,4,1,3,2,1,2,1,3,3,2,3,2,4,4,3,3,2,3,1,3,3,2,2,74,,6,6,6,5,3,2,2,2,5,28,9,,4,4,2,5,3,4,5,4,5,3,4,4,4,3,4,3,4,4,5,4,3,4,3,3,6,3,2,4,5,3,3,3,35,30,24,28
1.00,2.00,1.00,5.00,2.00,23,,7,7,7,7,1,2,1,3,4,39.00,,2,1,4,1,1,3,5,2,3,4,1,3,1,2,4,3,2,2,4,5,4,2,2,3,3,4,4,4,2,81,,7,5,7,7,3,2,1,2,4,31,7,,3,5,5,6,2,6,6,3,6,5,6,6,3,5,2,4,5,5,5,5,2,3,3,2,6,4,3,5,5,4,2,3,40,39,28,27
1.00,2.00,1.00,6.00,2.00,21,,7,7,7,7,2,2,2,2,2,38.00,,2,1,4,4,4,2,4,2,4,4,2,4,1,4,3,2,3,4,4,4,4,2,4,3,3,2,4,4,3,91,,6,5,6,6,2,2,1,2,3,27,6,,3,5,3,5,3,4,5,5,5,4,4,4,5,5,4,2,5,4,5,3,4,4,2,5,5,5,4,4,5,2,4,3,34,34,26,34
1.00,2.00,1.00,1.00,2.00,58,,7,7,6,5,1,2,1,1,1,31.00,,1,2,2,2,1,2,2,1,1,3,1,2,1,3,3,2,1,1,3,2,3,1,1,1,1,1,1,1,1,47,,5,3,6,7,1,2,1,1,1,24,3,,6,2,2,6,5,5,6,5,6,6,2,6,2,5,5,1,6,5,5,5,2,6,2,2,6,2,2,5,6,1,1,2,44,38,14,28
1.00,2.00,2.00,5.00,1.00,21,,7,7,7,7,2,5,2,5,2,44.00,,1,1,2,4,2,2,2,1,2,4,1,2,1,2,1,1,5,1,2,4,2,1,1,2,1,2,1,1,1,53,,6,7,6,7,2,2,2,1,2,30,5,,5,3,2,6,3,5,6,6,6,5,2,5,1,5,5,2,4,4,4,5,2,5,1,2,5,4,2,5,4,2,2,5,38,38,19,24
1.00,2.00,1.00,1.00,1.00,,,7,7,7,7,1,1,1,1,1,33.00,,2,1,1,4,1,1,3,1,2,2,1,1,1,4,1,1,1,1,3,1,2,1,1,1,1,1,2,1,1,44,,7,6,7,7,1,1,1,1,1,29,3,,6,2,1,6,6,6,6,6,6,6,1,6,1,6,5,1,6,6,6,6,1,6,2,1,6,2,1,6,6,1,1,5,43,44,14,27
1.00,2.00,1.00,6.00,1.00,22,,5,6,6,5,2,2,5,5,5,41.00,,1,1,1,4,1,4,4,1,4,2,1,5,1,4,2,1,4,2,5,2,2,4,4,1,4,4,4,2,1,76,,5,6,7,7,1,2,2,1,1,28,4,,6,2,5,6,2,6,6,3,5,6,1,6,4,4,6,2,5,3,4,2,5,6,3,1,6,2,2,2,6,2,1,4,46,28,27,22
1.00,1.00,1.00,5.00,1.00,25,,7,7,6,7,1,1,1,1,1,32.00,,2,2,2,4,3,4,4,2,4,2,1,4,2,4,4,2,4,3,4,4,3,2,4,5,2,2,4,4,2,89,,4,6,6,6,1,1,2,2,2,24,6,,6,2,2,5,3,3,5,5,5,5,5,6,5,4,5,2,5,3,3,5,5,6,2,6,6,5,6,1,3,4,5,2,39,28,27,38
1.00,1.00,3.00,5.00,3.00,22,,5,6,6,3,2,3,1,1,1,28.00,,1,1,4,5,1,2,4,1,1,4,1,1,1,4,4,4,4,1,2,2,4,3,1,1,1,1,3,1,1,64,,6,5,7,7,3,1,1,6,2,29,9,,4,4,3,1,2,3,3,2,4,4,1,4,4,2,3,2,3,3,2,3,3,4,2,2,4,3,1,2,3,2,1,3,29,23,22,15
1.00,2.00,1.00,1.00,2.00,54,,6,6,6,6,2,4,1,2,1,34.00,,4,1,2,3,1,5,4,1,4,3,1,4,1,2,2,1,3,1,4,4,2,1,2,1,1,3,1,2,1,65,,6,3,4,6,3,3,1,2,2,25,5,,5,3,2,6,2,5,5,4,6,5,1,6,1,5,6,1,6,4,5,5,2,6,1,6,6,3,5,5,6,1,6,1,42,36,12,37
2.00,1.00,1.00,5.00,2.00,21,,6,7,7,7,1,2,2,2,2,36.00,,1,1,2,5,1,2,4,1,1,4,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,4,1,1,47,,7,7,6,7,2,1,1,1,2,30,4,,6,2,1,6,1,5,5,5,6,6,2,6,1,5,6,2,2,6,5,5,2,6,1,2,6,3,1,6,5,2,1,1,41,40,13,20
1.00,2.00,2.00,1.00,3.00,57,,6,6,5,6,1,2,2,1,1,30.00,,1,1,4,4,1,2,1,1,2,3,1,1,1,4,1,1,1,1,4,1,2,1,2,1,1,1,3,1,1,49,,7,7,7,7,1,1,1,1,1,30,3,,6,2,4,6,2,6,5,5,6,5,5,5,3,6,5,1,5,2,5,5,3,6,4,5,6,5,5,6,6,1,1,4,44,37,25,33
1.00,2.00,3.00,5.00,2.00,21,,7,6,6,6,3,4,1,2,4,39.00,,1,1,4,4,1,3,4,1,2,4,1,2,1,3,1,1,4,1,4,5,3,1,2,3,1,5,2,2,1,68,,7,6,5,6,2,2,1,2,4,28,7,,6,2,2,5,3,5,5,4,5,4,1,4,1,4,5,1,6,4,5,3,3,5,2,2,5,2,3,4,3,2,3,3,35,30,16,28
,2.00,1.00,1.00,2.00,,,2,3,3,2,5,7,7,4,7,40.00,,2,1,4,5,1,2,4,1,1,4,1,1,1,1,3,1,4,1,3,3,3,1,1,4,1,4,2,1,1,62,,4,6,7,7,1,6,3,2,1,31,6,,6,2,4,6,4,6,6,6,6,6,1,6,3,6,4,1,2,5,2,5,1,6,2,3,6,2,2,6,6,1,1,2,46,42,16,19
1.00,2.00,1.00,6.00,1.00,22,,5,5,5,3,2,5,2,2,2,31.00,,2,1,5,5,1,4,5,1,2,5,1,2,1,4,4,1,2,1,4,4,4,1,1,5,4,5,1,1,1,78,,6,2,6,6,2,1,1,1,5,23,7,,5,3,2,5,1,6,4,5,5,6,1,1,1,4,2,2,4,5,2,5,1,4,1,2,5,5,2,3,3,2,2,2,29,37,16,16
2.00,2.00,1.00,1.00,3.00,49,,7,6,7,7,1,1,7,1,2,39.00,,5,1,4,5,4,4,4,1,2,4,1,5,1,5,1,4,4,4,5,4,4,2,5,1,4,3,4,4,2,97,,6,7,7,7,1,1,1,1,1,29,3,,5,3,1,6,1,6,5,6,6,6,2,6,2,5,5,3,6,1,5,1,5,6,5,2,6,1,1,6,6,2,1,2,41,34,21,23
1.00,2.00,1.00,5.00,3.00,52,,7,7,7,7,1,1,1,1,1,33.00,,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,,7,7,7,7,1,1,1,1,1,30,3,,6,2,2,5,1,6,6,5,5,6,1,4,2,6,1,1,6,2,4,5,1,6,1,1,6,1,1,6,6,1,1,1,41,38,10,16
,1.00,1.00,7.00,2.00,,,6,6,6,6,3,2,4,3,4,40.00,,2,4,4,4,3,2,4,4,3,1,1,2,2,3,3,4,3,2,4,5,2,5,3,1,4,5,5,3,1,89,,3,6,6,1,6,6,5,2,6,28,13,,4,4,2,6,2,2,5,4,5,4,3,4,2,4,5,1,1,2,5,2,5,6,4,3,6,4,6,2,2,1,6,3,34,24,22,31
1.00,2.00,1.00,8.00,1.00,19,,6,7,7,6,4,2,5,3,5,45.00,,1,1,4,4,3,2,3,2,2,2,3,3,1,4,2,4,1,2,2,3,4,1,1,1,1,1,2,2,1,63,,4,3,6,6,2,3,1,2,2,24,5,,3,5,2,4,3,4,3,5,5,5,2,4,3,5,1,2,1,4,5,5,1,5,3,3,5,2,2,5,5,1,4,3,32,38,17,21
1.00,1.00,2.00,8.00,5.00,51,,5,5,6,5,1,1,2,2,5,32.00,,4,1,4,5,1,4,4,1,3,4,1,2,1,4,3,1,3,2,5,4,4,1,3,3,3,4,4,3,3,85,,4,5,5,5,3,3,3,3,4,25,10,,6,2,4,5,4,6,4,4,5,2,3,4,3,6,6,3,6,3,3,4,3,6,2,4,6,3,1,6,6,1,1,4,41,33,23,28
2.00,2.00,1.00,1.00,3.00,34,,5,5,5,5,3,5,3,4,3,38.00,,1,1,4,5,1,1,4,1,3,3,1,1,1,4,3,1,3,1,4,1,2,3,3,1,1,1,2,2,1,60,,3,4,5,5,3,2,1,1,1,22,3,,5,3,2,6,2,6,6,4,6,5,4,5,2,5,2,1,5,5,4,2,2,6,1,2,6,2,1,6,6,2,1,2,42,36,14,21
1.00,2.00,1.00,7.00,1.00,23,,6,3,6,5,5,5,5,5,5,45.00,,2,3,3,4,4,4,4,3,2,3,1,4,1,4,3,2,2,2,4,3,2,4,1,3,2,2,4,3,1,80,,3,3,4,6,2,2,2,2,2,20,6,,5,3,3,6,3,5,6,6,6,6,3,1,4,5,2,2,6,6,3,6,1,6,1,3,6,3,3,6,5,2,1,1,38,43,17,24
1.00,2.00,1.00,7.00,2.00,37,,6,6,6,6,3,3,5,2,4,41.00,,4,3,4,4,3,3,2,1,3,4,2,3,4,4,2,4,1,3,4,3,3,3,3,2,2,2,3,3,2,84,,6,6,6,6,2,2,2,2,2,28,6,,6,2,2,5,2,6,5,5,5,5,4,2,4,5,4,3,3,5,4,5,2,5,2,3,5,3,2,4,5,2,2,3,35,37,21,24
,2.00,1.00,6.00,1.00,,,7,7,7,7,1,1,1,2,5,38.00,,3,1,4,4,1,2,4,1,5,4,1,2,1,4,2,3,3,1,4,4,2,3,2,3,4,2,1,1,1,73,,5,6,7,5,2,2,2,2,2,27,6,,6,2,2,6,2,6,6,5,6,6,2,4,2,5,6,1,5,5,5,5,1,6,1,5,6,3,5,5,4,1,2,1,40,39,12,32
1.00,2.00,1.00,8.00,1.00,19,,6,6,6,6,1,3,5,5,6,44.00,,3,1,3,5,4,3,4,1,4,5,1,4,1,1,4,2,2,4,5,2,3,2,2,2,1,3,4,2,1,79,,4,4,4,6,1,4,3,1,2,23,6,,4,4,3,6,4,5,5,2,6,5,4,5,2,4,5,4,5,2,4,2,3,5,3,1,6,3,1,5,5,1,3,3,39,29,22,27
1.00,2.00,1.00,1.00,2.00,52,,7,7,7,6,1,1,1,1,1,32.00,,1,1,1,4,4,1,1,1,3,1,2,2,1,2,1,1,1,2,4,1,3,3,1,2,2,1,4,4,1,56,,3,7,7,7,1,1,1,1,1,26,3,,6,2,3,6,6,6,6,6,6,6,5,5,2,6,6,1,6,6,6,6,2,6,1,6,6,5,6,6,6,2,1,1,44,44,17,42
1.00,2.00,1.00,5.00,3.00,22,,5,6,6,7,2,3,2,1,2,34.00,,1,1,2,4,1,2,4,1,2,4,1,1,1,2,3,4,2,1,4,4,3,4,2,2,3,2,1,1,1,64,,6,6,5,3,2,2,6,2,3,24,11,,6,2,1,5,5,5,5,4,5,5,5,4,4,5,5,3,3,3,5,3,4,5,2,3,6,4,4,5,6,2,4,4,38,32,24,34
1.00,2.00,1.00,6.00,1.00,24,,6,6,6,6,2,5,5,7,7,50.00,,1,1,4,4,1,4,4,1,2,4,1,3,1,3,4,1,4,3,4,5,4,3,4,4,3,4,4,4,2,87,,7,2,3,3,6,6,6,6,6,27,18,,1,7,3,5,6,5,5,2,5,5,6,5,6,4,6,6,5,4,6,3,5,4,4,6,6,6,6,4,4,6,6,5,33,34,41,47
1.00,2.00,3.00,5.00,2.00,22,,7,7,7,7,1,1,1,1,1,33.00,,1,1,2,4,1,2,1,1,1,3,1,1,1,2,2,1,2,1,2,2,3,1,1,1,1,3,1,1,1,45,,4,4,7,7,1,1,1,1,1,24,3,,6,2,1,6,1,6,5,6,6,6,1,6,3,6,1,1,4,5,1,6,1,6,1,1,6,1,1,5,6,1,1,2,42,42,11,11
1.00,2.00,1.00,8.00,1.00,24,,6,6,6,6,2,3,3,3,5,40.00,,1,1,2,3,1,2,2,1,2,4,2,2,1,2,3,4,3,2,3,4,2,2,1,4,1,3,2,1,1,62,,7,6,5,7,1,1,2,2,3,27,7,,5,3,4,5,3,5,5,3,6,5,4,4,3,5,5,2,5,4,6,3,4,6,3,3,6,3,3,5,6,4,3,4,42,33,27,32
1.00,2.00,1.00,8.00,2.00,23,,7,7,7,7,1,1,1,1,1,33.00,,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,34,,6,6,6,6,2,4,2,2,2,30,6,,6,2,1,5,2,6,5,5,5,5,1,5,2,6,2,2,2,5,2,5,2,5,2,2,5,2,2,5,5,2,2,5,37,39,18,15
1.00,2.00,1.00,8.00,1.00,18,,4,4,4,4,4,4,4,4,4,36.00,,4,3,4,3,4,3,2,3,3,4,3,4,3,3,4,3,3,3,3,4,3,2,3,3,2,3,3,3,1,89,,3,4,4,4,3,4,3,2,2,22,7,,3,5,3,4,3,3,4,4,4,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,4,4,4,3,3,4,4,3,27,29,28,28
1.00,2.00,5.00,1.00,2.00,44,,7,7,7,7,1,1,1,1,1,33.00,,1,1,1,5,1,1,3,1,1,1,1,1,1,2,1,1,4,1,2,1,4,3,1,5,1,1,1,1,1,49,,7,7,7,7,1,1,2,1,1,30,4,,6,2,1,6,4,6,6,6,6,6,2,6,1,5,6,1,6,6,6,2,2,6,1,4,6,1,2,6,6,1,1,1,43,39,9,31
5.00,1.00,1.00,1.00,2.00,55,,6,5,6,4,2,2,1,2,2,30.00,,1,2,1,4,1,1,5,1,1,5,1,1,3,5,1,2,4,1,5,1,5,3,4,4,5,1,1,1,1,71,,6,7,7,7,1,6,2,1,7,34,10,,6,2,1,5,6,6,5,6,6,2,4,6,1,4,6,2,3,5,6,6,2,6,2,3,5,1,1,6,6,1,1,2,41,37,12,30
1.00,2.00,1.00,8.00,1.00,25,,6,6,6,7,2,2,4,4,2,39.00,,4,1,2,4,2,1,3,5,5,3,2,3,2,3,4,4,1,5,2,3,4,2,5,3,2,5,2,2,4,88,,6,5,7,7,1,1,3,1,2,27,6,,3,6,3,2,5,4,5,1,5,5,5,4,2,3,5,4,5,6,5,5,3,6,2,3,5,2,3,3,4,6,5,4,35,33,26,36
1.00,2.00,3.00,8.00,1.00,22,,6,6,6,6,3,5,5,5,3,45.00,,3,2,4,4,1,4,4,1,4,5,1,3,1,2,2,2,2,1,4,4,2,2,1,2,1,2,4,1,2,71,,7,6,6,3,1,1,1,2,7,24,10,,5,4,2,4,2,5,4,3,6,5,3,3,2,4,4,2,4,4,3,4,2,6,3,5,6,4,3,5,5,1,1,3,37,34,19,25
1.00,2.00,1.00,6.00,2.00,23,,7,7,7,6,5,4,4,5,5,50.00,,1,4,4,5,1,1,1,1,3,4,1,3,1,4,1,2,2,1,1,4,3,2,1,3,1,5,1,1,1,63,,2,5,3,6,3,6,2,3,5,25,10,,5,3,2,6,2,4,4,4,3,2,2,2,4,2,2,2,3,4,3,4,2,5,2,2,6,6,2,2,4,3,1,4,31,25,25,17
1.00,2.00,1.00,5.00,3.00,31,,7,7,6,7,1,1,1,1,1,32.00,,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,34,,7,7,7,7,1,1,1,1,1,30,3,,6,2,1,6,1,6,6,6,6,6,1,3,1,6,6,1,3,6,1,5,1,6,1,2,6,4,2,6,6,1,1,2,40,43,12,17
1.00,2.00,1.00,5.00,3.00,21,,7,7,7,7,1,2,1,1,1,34.00,,1,1,1,4,1,1,2,1,2,2,1,1,1,2,4,1,3,1,1,2,1,1,1,2,1,2,1,1,1,44,,6,6,6,6,2,1,2,2,3,27,7,,6,2,2,4,5,5,4,3,5,4,6,6,6,6,3,6,5,5,6,1,4,6,3,2,6,2,4,3,6,1,2,3,41,29,27,33
1.00,1.00,1.00,5.00,2.00,21,,7,7,7,6,1,3,1,1,1,34.00,,3,1,4,4,3,4,2,1,4,4,1,4,1,2,1,1,1,4,5,2,4,1,3,2,2,1,4,2,2,73,,6,6,6,7,1,2,1,1,2,28,4,,5,3,2,5,5,6,6,6,5,5,2,4,3,5,6,3,5,5,2,3,3,6,1,2,6,2,1,6,6,1,1,2,40,39,17,24
1.00,2.00,1.00,1.00,2.00,55,,7,7,7,7,2,1,1,1,1,34.00,,1,1,1,4,1,1,1,1,2,2,1,1,1,2,1,5,3,1,2,2,1,1,2,3,1,2,1,1,1,47,,3,6,6,6,2,7,2,2,2,30,6,,6,2,1,6,2,2,6,5,5,5,3,6,2,4,5,2,4,3,5,3,4,6,2,2,5,2,1,5,6,1,2,1,41,29,15,24
1.00,2.00,1.00,5.00,2.00,25,,7,7,7,7,1,1,1,5,5,41.00,,4,1,4,5,4,4,5,1,2,4,1,2,1,4,5,2,2,1,5,4,4,4,4,4,1,4,5,4,1,92,,7,3,7,7,1,1,1,1,1,26,3,,6,2,4,6,6,6,6,6,6,6,6,6,6,6,2,4,4,6,6,4,6,6,5,6,6,6,6,5,6,6,2,5,46,41,42,38
1.00,2.00,1.00,1.00,5.00,45,,7,7,7,7,7,1,1,1,1,39.00,,2,1,1,5,1,2,1,1,2,1,1,2,1,4,1,5,1,1,1,1,2,1,1,1,1,1,2,1,1,46,,7,7,7,7,1,1,1,1,1,30,3,,6,2,2,6,2,6,6,5,6,6,3,6,2,6,5,2,4,6,5,5,2,6,1,1,6,1,1,6,6,1,2,1,44,42,12,23
1.00,1.00,2.00,6.00,1.00,21,,7,7,7,5,2,2,1,6,2,39.00,,4,1,4,5,2,5,5,2,4,5,2,2,3,5,5,4,4,4,5,4,5,4,2,4,2,5,5,4,2,108,,6,6,7,6,3,3,3,2,2,31,7,,5,3,3,3,5,6,5,5,5,6,4,4,5,5,4,5,2,3,4,3,5,4,3,2,5,5,1,6,6,4,3,4,37,37,34,25
1.00,2.00,1.00,6.00,3.00,,,6,6,6,7,3,5,2,5,4,44.00,,1,3,4,4,1,2,3,1,2,4,1,2,1,2,2,2,2,1,2,3,2,3,1,2,1,3,2,2,1,60,,4,6,4,5,3,3,2,2,2,25,6,,6,2,2,5,2,4,5,5,5,5,2,5,5,5,5,2,2,5,2,2,5,3,2,4,5,5,2,5,6,4,2,2,37,33,27,21
1.00,2.00,1.00,1.00,2.00,52,,7,7,7,7,1,1,3,5,5,43.00,,4,4,4,5,5,2,1,1,2,5,1,4,2,4,5,2,1,1,5,5,2,5,1,1,1,5,4,4,1,87,,3,6,7,6,1,6,1,1,1,29,3,,6,2,1,6,1,6,6,6,6,6,4,6,2,6,6,2,6,6,5,5,2,6,1,1,6,1,1,6,6,1,1,1,43,43,11,25
1.00,2.00,1.00,1.00,1.00,59,,7,7,7,7,1,1,1,1,1,33.00,,1,1,2,4,1,1,2,1,2,4,1,1,1,1,2,1,5,1,2,2,2,2,1,2,1,3,1,1,1,50,,7,6,7,7,2,1,1,1,1,30,3,,6,2,1,5,2,5,5,5,6,6,4,5,2,6,3,1,3,5,4,5,1,6,1,4,6,1,4,6,6,1,1,1,41,40,9,25
1.00,2.00,1.00,5.00,2.00,24,,7,7,6,7,1,2,1,1,5,37.00,,1,1,4,5,1,2,2,1,1,4,1,2,1,3,2,1,1,1,2,1,4,3,1,2,1,1,4,1,1,55,,7,7,7,7,1,1,1,5,1,30,7,,6,2,1,6,2,6,6,3,6,6,2,6,6,6,6,1,2,4,2,4,1,6,2,3,6,4,1,5,6,1,1,1,43,36,17,19
1.00,1.00,1.00,8.00,1.00,23,,7,6,6,3,2,3,1,1,1,30.00,,4,4,1,2,5,4,5,1,5,1,1,2,4,1,1,5,4,5,5,4,1,5,4,3,1,1,1,4,1,85,,3,6,6,3,1,1,1,1,5,20,7,,6,2,4,6,6,5,6,4,6,6,6,6,3,5,6,1,1,5,6,5,2,6,1,6,6,1,6,5,6,1,6,1,46,37,14,43
1.00,2.00,1.00,3.00,3.00,60,,6,6,6,5,5,5,5,5,5,48.00,,4,2,2,4,2,2,4,1,2,2,1,2,1,2,4,2,2,2,4,4,2,2,2,2,2,4,2,2,1,68,,5,5,5,6,2,3,2,2,2,26,6,,6,2,2,6,1,6,6,6,6,6,5,6,3,6,3,2,6,6,5,2,5,6,5,2,6,4,2,4,6,1,4,2,44,38,24,28
1.00,2.00,1.00,1.00,4.00,60,,5,3,5,6,4,5,1,1,1,31.00,,3,1,3,2,1,1,1,1,2,4,1,1,1,1,1,1,2,1,3,1,3,1,1,1,2,1,2,1,1,45,,6,6,6,7,3,2,1,2,2,30,5,,4,4,4,2,2,4,2,4,4,5,1,2,5,4,5,2,5,2,5,4,4,4,2,3,4,5,2,5,5,3,2,5,29,32,30,25
1.00,2.00,1.00,1.00,4.00,39,,7,7,7,7,2,1,1,1,1,34.00,,2,1,2,5,4,4,2,1,4,5,2,4,2,4,2,1,3,2,4,3,4,3,1,2,2,3,4,4,2,82,,6,6,6,7,1,5,1,1,1,31,3,,5,3,2,5,3,6,5,5,6,5,2,6,5,6,3,5,5,5,2,5,2,5,3,4,6,5,5,5,5,5,5,4,40,40,31,29
1.00,2.00,1.00,5.00,3.00,23,,7,7,7,7,2,2,2,5,5,44.00,,4,1,1,4,2,4,5,1,4,1,1,3,1,4,4,1,2,2,4,4,3,1,1,2,1,1,2,1,2,67,,7,6,6,7,3,1,1,1,1,30,3,,6,2,4,6,5,5,6,2,6,4,5,6,3,4,2,5,3,2,5,3,4,6,2,4,6,4,3,4,5,3,1,5,45,26,30,28
1.00,1.00,2.00,8.00,1.00,30,,7,7,6,6,2,2,6,6,6,48.00,,2,1,2,4,2,2,4,1,2,5,1,2,1,2,4,1,5,2,4,4,3,1,3,3,2,3,3,2,2,73,,3,6,3,5,2,1,1,2,3,20,6,,6,2,4,6,6,6,5,2,5,6,6,5,3,6,6,2,6,6,6,4,2,6,1,5,5,4,4,4,6,2,3,2,42,36,20,42
1.00,1.00,1.00,1.00,4.00,40,,6,6,6,7,1,2,4,4,1,37.00,,3,4,4,4,2,2,3,1,3,4,2,2,3,4,4,3,4,1,3,3,1,4,2,4,1,3,1,1,1,77,,4,4,7,7,4,4,1,2,1,30,4,,6,2,3,6,4,5,6,5,6,5,4,6,3,4,5,1,6,4,6,5,2,6,1,3,6,3,4,4,6,2,2,2,45,34,17,34
1.00,2.00,1.00,1.00,2.00,57,,6,6,6,6,1,1,6,4,4,40.00,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,2,1,1,1,1,4,1,1,1,1,1,43,,2,4,6,7,1,1,1,1,1,21,3,,6,2,4,6,1,2,2,3,6,4,1,6,1,4,6,1,6,1,6,2,5,5,5,2,2,1,2,4,6,1,1,1,37,22,19,25
1.00,1.00,1.00,5.00,2.00,25,,7,7,7,7,1,1,1,2,2,35.00,,2,3,2,4,1,4,4,1,2,4,1,2,1,4,4,2,4,4,4,2,4,3,4,1,4,2,3,4,4,84,,4,7,7,7,1,4,4,1,1,30,6,,6,2,3,6,4,3,6,2,6,4,3,6,4,3,5,4,2,3,4,4,4,6,2,1,6,5,3,3,6,4,3,4,45,24,30,25
1.00,2.00,1.00,6.00,1.00,23,,7,7,7,7,1,2,6,5,5,47.00,,1,1,4,2,1,2,2,1,2,4,1,1,1,2,4,1,3,1,4,4,2,1,1,2,1,4,2,2,1,58,,6,6,3,6,2,3,1,3,5,26,9,,6,2,1,6,2,5,5,5,5,6,2,4,3,6,4,1,5,5,3,5,2,6,1,4,5,2,4,6,6,1,2,2,38,40,13,26
1.00,2.00,1.00,8.00,2.00,21,,5,5,5,3,6,6,6,7,6,49.00,,4,1,5,5,2,4,5,1,4,5,1,4,1,4,5,1,4,1,5,4,4,4,1,2,2,4,4,2,1,90,,2,4,3,3,5,3,2,5,5,20,12,,5,3,2,6,6,6,5,5,5,6,6,1,5,5,6,5,5,5,6,5,5,6,2,6,4,4,5,4,6,1,6,5,34,39,29,46
1.00,1.00,3.00,5.00,3.00,29,,7,7,7,7,1,1,2,5,4,41.00,,2,1,3,5,2,4,5,1,3,3,2,4,1,2,4,4,2,2,3,4,4,2,3,2,2,3,4,4,3,84,,3,5,6,3,2,2,2,2,2,21,6,,4,4,5,5,5,6,5,2,5,6,4,5,4,6,2,2,5,5,5,4,5,5,5,5,5,5,5,3,4,5,5,6,38,36,37,36
1.00,2.00,1.00,1.00,2.00,,,6,6,6,7,1,1,1,1,1,30.00,,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,,7,7,7,7,1,1,1,1,1,30,3,,6,2,2,6,6,6,6,6,6,6,1,5,1,6,1,1,6,6,4,6,1,6,1,1,6,1,1,6,6,1,1,6,43,44,14,21
1.00,2.00,1.00,5.00,2.00,27,,7,7,7,7,1,2,2,2,2,37.00,,2,2,2,4,3,2,4,2,2,1,1,2,3,3,3,3,1,1,2,3,2,4,2,1,2,3,3,2,1,66,,7,7,7,7,1,1,1,1,1,30,3,,6,2,2,6,3,5,6,5,6,5,4,6,5,5,4,4,4,2,6,3,4,6,1,1,6,2,4,5,6,1,1,2,44,32,21,27
1.00,1.00,1.00,1.00,3.00,58,,6,5,6,7,1,1,1,2,1,30.00,,4,4,4,4,1,2,4,1,2,4,2,2,1,4,1,1,4,4,4,1,5,1,2,2,1,2,2,2,2,73,,7,6,7,7,2,2,2,1,2,31,5,,6,2,2,6,5,3,5,4,6,6,1,6,1,4,5,1,1,5,3,5,2,6,2,2,6,3,1,4,5,1,1,2,42,33,14,19
1.00,2.00,1.00,6.00,1.00,32,,6,3,5,4,3,6,3,6,6,42.00,,4,2,4,4,2,4,4,2,2,5,3,2,2,4,5,4,3,2,5,5,4,4,3,2,3,4,4,4,3,99,,2,3,6,6,2,1,2,2,3,20,7,,5,3,3,6,2,5,5,5,6,6,5,6,5,5,6,3,6,2,6,3,5,6,5,2,6,5,2,3,6,2,2,4,43,32,32,31
1.00,2.00,1.00,7.00,1.00,20,,7,7,7,7,2,2,6,7,7,52.00,,1,1,4,4,2,1,1,1,2,4,1,1,1,2,1,2,3,1,2,3,2,3,3,4,2,1,2,1,1,57,,4,6,6,3,5,5,2,4,3,29,9,,6,2,2,6,2,5,6,4,6,5,2,6,1,4,6,1,6,5,5,4,2,6,2,4,6,2,4,5,6,1,4,2,44,34,13,33
3.00,2.00,1.00,8.00,1.00,24,,6,6,6,5,2,3,5,5,6,44.00,,4,1,5,4,1,4,4,1,4,5,1,4,1,4,3,4,4,4,4,5,3,1,2,3,1,4,4,2,4,91,,6,6,6,6,3,2,2,5,2,29,9,,5,3,2,4,3,6,4,5,6,6,2,1,2,5,1,2,1,6,4,6,2,5,2,3,6,2,1,5,5,2,1,3,34,42,17,16
