Q25,Q19,Q18,Q23,Q24,Q27,,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,TOTAL,,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q42_8,Q42_9,Q42_10,Q42_11,Q42_12,Q42_13,Q42_14,Q42_15,Q42_16,Q42_17,Q42_18,Q42_19,Q42_20,Q42_21,Q42_22,Q42_23,Q42_24,Q42_25,Q42_26,Q42_27,Q42_28,Q42_29,Total Agression,,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Avoidance ,Anxiety,,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q44_12,Q44_13,Q44_14,Q44_15,Q44_16,Q44_17,Q44_18,Q44_19,Q44_20,Q44_21,Q44_22,Q44_23,Q44_24,Q44_25,Q44_26,Q44_27,Q44_28,Q44_29,Q44_30,Q44_31,Q44_32,Proximity Maintenance,Sensitivity,Controlling C,Compulsive C
1.00,2.00,1.00,5.00,2.00,25,,6,7,7,5,1,1,1,2,2,32.00,,2,2,3,5,1,1,4,2,3,4,1,5,1,3,3,2,2,4,4,4,2,2,2,3,2,1,4,4,1,77,,6,6,6,6,1,1,1,1,1,26,3,,5,3,2,6,1,5,5,5,6,6,2,6,3,6,5,2,6,5,4,5,2,6,1,2,6,2,2,6,5,2,4,2,41,41,16,26
1.00,2.00,1.00,5.00,2.00,52,,7,6,6,6,2,2,1,1,1,32.00,,3,1,2,5,1,2,2,1,2,2,1,4,1,2,2,2,2,2,3,2,3,1,1,2,1,2,3,3,2,60,,7,6,6,6,2,1,2,2,2,28,6,,6,2,2,6,5,6,6,3,6,6,5,6,3,6,5,3,5,5,6,5,2,6,2,4,6,4,3,5,6,3,2,3,44,38,22,35
1.00,2.00,4.00,8.00,1.00,19,,3,3,3,3,5,5,5,2,3,32.00,,2,1,4,3,1,2,4,1,2,3,1,2,1,2,3,2,4,2,2,5,3,3,2,2,1,4,2,1,1,66,,2,5,2,1,3,3,2,5,7,16,14,,3,5,2,2,4,6,2,2,1,3,1,3,2,6,6,1,5,3,5,3,3,5,1,4,2,2,2,5,3,1,1,3,21,33,15,28
1.00,2.00,1.00,8.00,1.00,22,,7,7,7,7,2,2,4,5,7,48.00,,1,1,2,5,2,2,4,1,4,1,1,5,1,1,4,1,1,4,5,5,2,1,2,2,1,1,1,5,4,70,,5,5,6,7,3,1,3,5,3,27,11,,5,3,3,6,2,5,6,5,6,6,3,6,5,6,4,3,3,5,4,6,2,6,1,4,6,5,2,6,6,2,2,2,44,42,23,24
1.00,1.00,1.00,7.00,3.00,31,,6,6,6,5,5,3,6,2,4,43.00,,2,1,4,1,1,1,5,1,1,5,1,2,1,1,4,2,4,1,4,2,4,1,2,1,1,1,2,1,1,58,,3,6,3,2,7,6,6,4,6,27,16,,6,2,3,5,3,4,4,3,5,4,1,2,4,2,6,2,6,3,2,2,3,6,3,2,5,2,2,3,4,1,2,2,35,23,20,24
1.00,1.00,1.00,1.00,4.00,,,7,7,7,7,1,1,1,1,2,34.00,,1,1,3,5,1,4,4,1,2,2,1,4,1,4,4,1,1,1,4,3,3,1,1,5,1,2,4,4,1,70,,6,5,6,7,1,2,2,1,1,27,4,,6,2,4,6,4,5,5,3,6,5,2,6,3,5,5,2,5,2,6,2,4,6,5,2,6,3,3,5,6,2,2,5,45,29,28,29
1.00,2.00,1.00,6.00,2.00,23,,6,6,6,7,2,3,1,3,2,36.00,,1,1,2,5,1,1,1,1,1,3,1,2,1,2,1,3,3,1,2,3,2,2,1,2,1,1,2,1,1,49,,6,6,6,6,2,4,2,2,1,30,5,,6,2,1,6,2,5,6,6,6,5,1,6,1,5,4,1,2,5,2,5,2,6,1,2,6,1,2,4,4,1,1,2,41,37,10,16
1.00,2.00,1.00,8.00,1.00,20,,6,6,6,4,2,5,6,7,7,49.00,,2,2,4,4,3,3,4,1,3,2,1,4,1,1,5,3,3,3,3,4,3,2,4,3,4,2,2,2,1,79,,4,6,5,2,4,2,4,3,6,23,13,,5,3,4,3,4,6,4,3,4,6,3,1,3,6,6,1,6,4,5,3,4,4,1,6,5,4,3,5,2,2,4,2,29,36,21,37
1.00,1.00,1.00,5.00,2.00,26,,6,6,6,6,2,2,2,2,2,34.00,,1,1,3,4,2,1,2,1,2,2,1,4,1,1,2,2,2,2,4,2,2,1,1,3,1,4,4,4,1,61,,3,6,4,6,2,6,4,2,2,27,8,,5,3,2,5,2,5,5,5,6,5,2,6,2,4,5,1,5,2,3,4,3,5,4,1,5,2,1,4,5,2,2,3,39,32,19,21
1.00,1.00,1.00,2.00,2.00,40,,6,6,6,6,2,3,2,3,5,39.00,,2,3,4,4,3,2,2,1,2,5,1,3,3,4,2,1,4,1,2,2,3,4,1,3,1,3,1,4,1,72,,6,4,7,6,2,2,1,1,2,27,4,,6,2,1,6,2,6,6,5,6,6,2,3,3,6,6,1,3,5,5,5,2,6,2,3,6,2,1,5,6,1,1,2,40,40,14,23
