Variable,CTQ1,CTQ2,CTQ3,CTQ4,CTQ5,CTQ6,CTQ7,CTQ8,CTQ9,CTQ10,CTQ11,CTQ12,CTQ13,CTQ14,CTQ15,CTQ16,CTQ17,CTQ18,CTQ19,CTQ20,CTQ21,CTQ22,CTQ23,CTQ24,CTQ25,MPFI1,MPFI2,MPFI3,MPFI4,MPFI5,MPFI6,MPFI7,MPFI8,MPFI9,MPFI10,MPFI11,MPFI12,MPFI13,MPFI14,MPFI15,MPFI16,MPFI17,MPFI18,MPFI19,MPFI20,MPFI21,MPFI22,MPFI23,MPFI24,MPFI25,MPFI26,MPFI27,MPFI28,MPFI29,MPFI30,SCS1,SCS2,SCS3,SCS4,SCS5,SCS6,SCS7,SCS8,SCS9,SCS10,SCS11,SCS12,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,LEC1,LEC2,LEC3,LEC4,LEC5,LEC6,LEC7,LEC8,LEC9,LEC10,Studii,Orientare_rel,Genul,Varsta,Mediu_prov,self.acceptance,autonomy,purpose,relationship,mastery,growth,PWB,emotional.abuse,physical.abuse,sexual.abuse,emotional.neglect,physical.neglect,self.compassion,flexibility,Zemotional.abuse,Zphysical.abuse,Zsexual.abuse,Zemotional.neglect,Zphysical.neglect,Zself.compassion,Zflexibility,FelxibilityxEA,FelxibilityxPA,FelxibilityxSA,FelxibilityxEN,FelxibilityxPN,CompassionxEA,CompassionxPA,CompassionxSA,CompassionxEN,CompassionxPN,CTQ,ZCTQ,CTQxcomps,CTQxflexibility,Abuse,neglect,ZAbuse,Zneglect,abusexflexib,neglectxflexib,neglectxcompas,abusexcompas
Label,trauma din copilarie,,,,,,,,,,,,,,,,,,,,,,,,,flexibilitatea psihologica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto-compasiunea,,,,,,,,,,,,starea de bine psihologica,,,,,,,,,,,,,,,,,,evenimente din viata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscore(emotional.abuse),Zscore(physical.abuse),Zscore(sexual.abuse),Zscore(emotional.neglect),Zscore(physical.neglect),Zscore(self.compassion),Zscore(flexibility),,,,,,,,,,,,Zscore(CTQ),,,,,Zscore(Abuse),Zscore(neglect),,,,
,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,6.00,6.00,6.00,6.00,4.00,3.00,6.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,4.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,2.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,1.00,2.00,22.00,1.00,11.00,13.00,11.00,10.00,13.00,13.00,71.00,7.00,5.00,7.00,5.00,7.00,36.00,134.00,-0.74175,-0.65262,-0.03688,-1.06725,-0.32136,-0.22355,0.56656,-0.42,-0.37,-0.02,-0.60,-0.18,0.17,0.15,0.01,0.24,0.07,31.00,-0.77221,0.17,-0.44,19.00,11.00,-0.63955,-0.83148,-0.36,-0.47,0.19,0.14
,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,5.00,3.00,3.00,5.00,5.00,5.00,6.00,6.00,5.00,1.00,4.00,2.00,5.00,3.00,3.00,3.00,3.00,3.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1.00,3.00,4.00,4.00,4.00,3.00,3.00,2.00,2.00,4.00,2.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,2.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,18.00,1.00,15.00,12.00,15.00,14.00,14.00,15.00,85.00,5.00,5.00,5.00,5.00,5.00,36.00,137.00,-1.05175,-0.65262,-0.53057,-1.06725,-0.80759,-0.22355,0.70690,-0.74,-0.46,-0.38,-0.75,-0.57,0.24,0.15,0.12,0.24,0.18,25.00,-1.07153,0.24,-0.76,15.00,9.00,-0.95200,-1.07315,-0.67,-0.76,0.24,0.21
,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,2.00,2.00,6.00,6.00,6.00,6.00,6.00,6.00,5.00,6.00,6.00,5.00,5.00,6.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,5.00,6.00,6.00,6.00,5.00,6.00,5.00,6.00,6.00,6.00,2.00,4.00,5.00,4.00,5.00,5.00,5.00,3.00,2.00,4.00,3.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,28.00,1.00,15.00,15.00,15.00,15.00,15.00,15.00,90.00,8.00,5.00,5.00,5.00,10.00,44.00,171.00,-0.58675,-0.65262,-0.53057,-1.06725,0.40799,0.71941,2.29744,-1.35,-1.50,-1.22,-2.45,0.94,-0.42,-0.47,-0.38,-0.77,0.29,33.00,-0.67243,-0.48,-1.54,18.00,13.00,-0.71766,-0.58982,-1.65,-1.36,-0.42,-0.52
,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,4.00,5.00,4.00,5.00,4.00,5.00,5.00,1.00,4.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,4.00,3.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,6.00,6.00,6.00,6.00,6.00,3.00,3.00,3.00,3.00,1.00,5.00,5.00,4.00,3.00,4.00,2.00,3.00,3.00,3.00,5.00,5.00,4.00,5.00,3.00,1.00,3.00,1.00,5.00,5.00,3.00,3.00,3.00,4.00,3.00,5.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,4.00,1.00,2.00,23.00,1.00,9.00,7.00,11.00,10.00,12.00,15.00,64.00,25.00,25.00,5.00,19.00,20.00,39.00,143.00,2.04826,3.35996,-0.53057,1.43579,2.83913,0.13006,0.98759,2.02,3.32,-0.52,1.42,2.80,0.27,0.44,-0.07,0.19,0.37,94.00,2.37071,0.31,2.34,55.00,34.00,2.17244,1.94769,2.15,1.92,0.25,0.28
,4.00,5.00,4.00,4.00,5.00,1.00,3.00,4.00,1.00,3.00,5.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,2.00,3.00,5.00,1.00,2.00,4.00,5.00,3.00,3.00,5.00,5.00,5.00,6.00,6.00,6.00,5.00,5.00,3.00,5.00,4.00,2.00,1.00,1.00,1.00,1.00,3.00,4.00,5.00,4.00,5.00,5.00,5.00,6.00,5.00,5.00,1.00,5.00,4.00,3.00,4.00,3.00,3.00,1.00,1.00,5.00,1.00,2.00,3.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,4.00,4.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,24.00,2.00,12.00,12.00,12.00,13.00,13.00,14.00,76.00,22.00,12.00,18.00,17.00,13.00,33.00,123.00,1.58326,0.75178,2.67836,1.07821,1.13733,-0.57715,0.05198,0.08,0.04,0.14,0.06,0.06,-0.91,-0.43,-1.55,-0.62,-0.66,82.00,1.77206,-1.02,0.09,52.00,29.00,1.93811,1.34352,0.10,0.07,-0.78,-1.12
,5.00,3.00,4.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,2.00,5.00,3.00,4.00,3.00,2.00,3.00,3.00,3.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,2.00,3.00,4.00,3.00,3.00,3.00,4.00,2.00,4.00,2.00,2.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,2.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,5.00,4.00,4.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,38.00,2.00,12.00,10.00,12.00,13.00,11.00,13.00,71.00,20.00,5.00,5.00,12.00,8.00,35.00,122.00,1.27326,-0.65262,-0.53057,0.18427,-0.07824,-0.34141,0.00520,0.01,0.00,0.00,0.00,0.00,-0.43,0.22,0.18,-0.06,0.03,50.00,0.17566,-0.06,0.00,30.00,19.00,0.21967,0.13519,0.00,0.00,-0.05,-0.07
,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,6.00,6.00,1.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1.00,5.00,5.00,1.00,5.00,5.00,5.00,1.00,1.00,5.00,1.00,1.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,24.00,2.00,13.00,15.00,15.00,15.00,15.00,15.00,88.00,5.00,5.00,5.00,5.00,5.00,36.00,175.00,-1.05175,-0.65262,-0.53057,-1.06725,-0.80759,-0.22355,2.48456,-2.61,-1.62,-1.32,-2.65,-2.01,0.24,0.15,0.12,0.24,0.18,25.00,-1.07153,0.24,-2.66,15.00,9.00,-0.95200,-1.07315,-2.37,-2.67,0.24,0.21
,3.00,3.00,3.00,4.00,4.00,1.00,5.00,5.00,4.00,4.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,3.00,3.00,3.00,1.00,3.00,2.00,1.00,2.00,4.00,2.00,5.00,3.00,4.00,5.00,5.00,5.00,3.00,5.00,5.00,4.00,3.00,5.00,5.00,2.00,3.00,3.00,2.00,2.00,4.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,5.00,5.00,4.00,5.00,4.00,5.00,5.00,4.00,4.00,5.00,5.00,5.00,4.00,5.00,4.00,5.00,5.00,4.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,24.00,1.00,14.00,14.00,12.00,15.00,14.00,14.00,83.00,17.00,19.00,6.00,14.00,9.00,40.00,121.00,0.80826,2.15618,-0.28372,0.54185,0.16487,0.24793,-0.04158,-0.03,-0.09,0.01,-0.02,-0.01,0.20,0.53,-0.07,0.13,0.04,65.00,0.92397,0.23,-0.04,42.00,22.00,1.15700,0.49769,-0.05,-0.02,0.12,0.29
,2.00,1.00,3.00,3.00,5.00,2.00,4.00,1.00,5.00,1.00,4.00,3.00,1.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,1.00,5.00,5.00,1.00,5.00,4.00,4.00,2.00,2.00,3.00,2.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,18.00,1.00,15.00,15.00,15.00,15.00,15.00,15.00,90.00,14.00,13.00,18.00,5.00,5.00,36.00,180.00,0.34326,0.95241,2.67836,-1.06725,-0.80759,-0.22355,2.71846,0.93,2.59,7.28,-2.90,-2.20,-0.08,-0.21,-0.60,0.24,0.18,55.00,0.42510,-0.10,1.16,45.00,9.00,1.39133,-1.07315,3.78,-2.92,0.24,-0.31
,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,1.00,4.00,5.00,5.00,5.00,5.00,1.00,5.00,5.00,1.00,6.00,5.00,6.00,5.00,6.00,5.00,5.00,5.00,5.00,6.00,5.00,6.00,5.00,6.00,6.00,6.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,6.00,6.00,5.00,6.00,6.00,6.00,6.00,1.00,4.00,5.00,1.00,4.00,5.00,5.00,1.00,1.00,4.00,1.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,3.00,1.00,2.00,21.00,2.00,15.00,15.00,15.00,15.00,15.00,15.00,90.00,24.00,23.00,25.00,20.00,17.00,33.00,166.00,1.89326,2.95870,4.40625,1.61458,2.10979,-0.57715,2.06354,3.91,6.11,9.09,3.33,4.35,-1.09,-1.71,-2.54,-0.93,-1.22,109.00,3.11903,-1.80,6.44,72.00,32.00,3.50033,1.70602,7.22,3.52,-0.98,-2.02
